Column1,Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
195,Susu,Susu,1,gelas,122,4.88,2.965,0.249,1.301,17,8.03,11.49,0,12.59,100,361
196,Susu Murni,Susu,100,ml,62,3.35,1.923,0.201,0.837,10,3.32,4.66,0,5.42,41,147
197,1% Lemak Susu,Susu,1,gelas,102,2.37,1.545,0.085,0.676,12,8.22,12.18,0,12.69,107,366
198,2% Lemak Susu,Susu,100,gram (g),50,1.97,1.257,0.073,0.56,8,3.3,4.68,0,5.06,41,150
199,Susu (tanpa Lemak),Susu,1,gelas,86,0.44,0.287,0.017,0.115,5,8.35,11.88,0,12.47,127,407
200,Susu Rendah Lemak,Susu,1,mangkok,102,2.37,1.545,0.085,0.676,12,8.22,12.18,0,12.69,107,366
201,Susu dengan Lemak yang telah Dikurangi,Susu,1,gelas,122,4.81,3.067,0.178,1.366,20,8.05,11.42,0,12.35,100,366
202,Yogurt Polos,Susu,100,gram (g),63,1.55,1,0.044,0.426,6,5.25,7.04,0,7.04,70,234
203,Yogurt Polos Rendah Lemak,Susu,100,gram (g),63,1.55,1,0.044,0.426,6,5.25,7.04,0,7.04,70,234
204,Yogurt Polos tanpa Lemak,Susu,100,gram (g),56,0.18,0.116,0.005,0.049,2,5.73,7.68,0,7.68,77,255
205,Yoghurt Vanila (Rendah Lemak),Susu,1,mangkok (240 ml),208,3.06,1.975,0.088,0.84,12,12.08,33.81,0,33.81,162,537
206,Makaroni,Karbohidrat,100,gram (g),157,0.92,0.175,0.317,0.13,0,5.76,30.68,1.8,0.56,232,45
207,Makaroni Gandum,Karbohidrat,100,gram (g),123,0.54,0.098,0.212,0.075,0,5.3,26.38,2.8,0.8,234,44
208,Makaroni atau Mie dengan Keju,Karbohidrat,1,mangkok,493,22.84,9.625,3.579,7.849,41,19.29,52.15,2.7,8.72,953,328
209,Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju),Karbohidrat,1,mangkok,386,11.59,6.619,0.909,2.873,26,15.28,54.29,3,2.45,786,132
210,Makanan Pembuka Makaroni dan Keju (Kalengan),Karbohidrat,1,porsi,200,6,2.15,0.739,1.464,15,8.25,28.11,1.2,1.22,1027,205
211,Makaroni atau Mie dengan Keju (Campuran Kering),Karbohidrat,100,gram (g),219,10.06,2.503,2.658,4.223,4,6.25,25.74,1.4,2.76,365,87
212,Makaroni Krim dengan Keju,Karbohidrat,100,gram (g),208,8.59,3.693,1.311,2.937,16,8.13,24.09,1.4,0.52,167,61
213,Mie,Karbohidrat,100,gram (g),137,2.06,0.417,0.549,0.578,29,4.51,25.01,1.2,0.4,236,38
214,"Mie Telur (Ditambah, Masak)",Karbohidrat,100,gram (g),138,2.07,0.419,0.021,0.552,0.581,4.54,25.16,29,1.2,0.4,5
215,Mie Gandum,Karbohidrat,100,gram (g),120,1.37,0.343,0.36,0.363,32,5.31,23.49,3.9,0.19,158,140
216,Mie Cina Chow Mein,Karbohidrat,1,mangkok,237,13.84,1.973,7.799,3.46,0,3.77,25.89,1.8,0.12,198,54
217,Nasi Putih Instan,Karbohidrat,1,"mangkok,masak",191,0.83,0.028,0.028,0.121,0,3.56,41.04,1,0,582,15
218,Nasi Putih,Karbohidrat,100,gram (g),129,0.28,0.076,0.075,0.087,0,2.66,27.9,0.4,0.05,365,35
219,Nasi Merah,Karbohidrat,100,gram (g),110,0.89,0.179,0.321,0.325,0,2.56,22.78,1.8,0.35,301,43
220,Nasi Goreng,Karbohidrat,100,gram (g),168,6.23,1.137,2.699,1.907,52,6.3,21.06,0.7,0.76,415,102
221,Nasi Goreng tanpa Daging,Karbohidrat,100,gram (g),151,5.48,0.926,2.519,1.615,44,4.23,20.97,1,1.12,425,93
222,Nasi Merah Instan,Karbohidrat,1,"mangkok,masak",233,1.89,0.38,0.681,0.689,0,5.43,48.29,3.8,0.74,638,91
223,"Nasi Merah (Butir-Panjang, Dimasak)",Karbohidrat,100,gram (g),111,0.9,0.18,0.323,0.327,0,2.58,22.96,1.8,0.35,5,43
224,"Nasi Putih (Butir-Panjang, Dimasak)",Karbohidrat,100,gram (g),130,0.28,0.077,0.076,0.088,0,2.69,28.17,0.4,0.05,1,35
225,Spageti,Karbohidrat,100,gram (g),157,0.92,0.175,0.317,0.13,0,5.76,30.68,1.8,0.56,232,45
226,Pasta dengan Saus Daging,Karbohidrat,1,mangkok,329,13.06,4.34,1.339,5.638,51,20.22,33.33,3.8,8.47,1887,811
227,Pasta tanpa Daging dengan Saus Tomat,Karbohidrat,1,mangkok,206,1.17,0.221,0.424,0.171,0,7.56,41.56,3.5,6.35,412,355
228,Spageti Gandum,Karbohidrat,100,gram (g),123,0.54,0.098,0.212,0.075,0,5.3,26.38,4.5,0.8,234,44
229,Kaldu Sapi,Sup,1,gelas (240 ml),7,0.19,0.096,0,0.072,0,0.84,0.8,0,0.63,1157,19
230,Kaldu Jamur,Sup,100,gram (g),7,0.01,0,0,0,0,0.87,0.83,0,0.45,1325,23
231,Sayuran Rebus (tanpa Daging),Sup,100,gram (g),56,0.97,0.443,0.081,0.362,1,2.65,9.73,1.7,1.93,226,220
232,Daging Sapi Rebus dengan Kentang dan Sayuran dalam Saus Tomat,Sup,1,mangkok,207,5.75,1.502,1.444,2.142,33,16.63,21.9,3,2.77,547,630
233,Sup Tomat,Sup,1,mangkok,102,2.93,0.988,0.988,0.727,5,3.05,17.93,1,10.54,705,307
234,"Sayur Sup (Kalengan, Terkondensasi)",Sup,1,mangkok,145,3.89,0.59,1.451,1.673,0,4.23,24.06,1.2,7.7,1653,421
235,Sup Mie Ayam,Sup,1,mangkok,65,2.39,0.658,0.663,1.048,14,3.18,7.4,0,1.06,868,53
236,Sup Miso,Sup,1,mangkok,84,3.36,0.622,1.394,1.085,0,6.02,7.78,1.9,2.59,998,367
237,Sup Ayam,Sup,1,mangkok,75,2.46,0.651,0.554,1.109,7,4.05,9.35,0.7,0.27,1106,55
238,Sup Nasi Ayam,Sup,1,mangkok,60,1.9,0.453,0.417,0.906,7,3.54,7.16,0.7,0.19,817,101
239,Sup Ayam Kental (Kalengan),Sup,1,mangkok,170,6.34,1.896,1.32,2.832,29,12.14,16.51,1.4,2.09,850,168
240,"Sup Ayam (dan) Sayur (dengan Volume Air yang Sama, Kalengan)",Sup,1,gelas (240 ml),75,2.84,0.844,0.602,1.277,10,3.62,8.58,1,1.3,945,154
241,Sup Mie Daging Sapi,Sup,1,mangkok,83,3.07,1.142,0.49,1.242,5,4.83,8.98,0.7,2.59,954,100
242,Sup Mie Instan,Sup,1,mangkok,46,0.84,0.262,0.177,0.322,7,2.16,7.32,0.5,0.43,758,60
243,Daging Sapi Gaya Oriental dan Sup Beras ( Pho Bo Vietnam),Sup,1,mangkok,176,3.86,1.403,0.239,1.584,39,17.35,16.81,1,1.05,669,305
244,"Sup Tomat (Kalengan, Terkondensasi)",Sup,1,mangkok,151,1.41,0.688,0.896,0.846,0,4.04,33.66,3,20.36,1383,575
245,Krim Sup Tomat (Disiapkan dengan Susu),Sup,1,mangkok,136,3.15,1.83,0.573,1.076,10,6.05,22.62,1.5,16.49,742,469
246,Sup Tomat (Disiapkan dengan Air),Sup,1,mangkok,76,0.71,0.344,0.449,0.422,0,2.03,16.84,1.5,10.17,693,288
247,Kuning Telur Matang,Telur,1,besar,55,4.49,1.617,0.712,1.988,209,2.69,0.61,0,0.1,34,19
248,Telur Orak-Arik,Telur,2,telur,199,15.21,5.784,1.851,5.536,400,13.01,1.96,0,1.43,211,138
249,"Telur Orak-Arik (Utuh, Dimasak)",Telur,1,besar,101,7.45,2.244,1.31,2.908,215,6.76,1.34,0,1.06,171,84
250,Telur Dadar atau Telur Orak-Arik,Telur,1,besar,98,7.14,2.086,1.243,2.867,213,6.81,1.15,0,1.17,247,91
251,Telur Dadar atau Telur Orak-Arik dengan Keju,Telur,1,besar,140,10.37,4.131,1.333,3.751,213,9.15,2.23,0,2.21,411,129
252,Telur Dadar atau Telur Orak-Arik dengan Jamur,Telur,1,besar,91,6.34,1.869,1.104,2.514,185,6.37,2.05,0.4,1.6,289,107
253,Putih Telur,Telur,100,gram (g),52,0.17,0,0,0,0,10.9,0.73,0,0.71,166,163
254,Pengganti Telur (Cair),Telur,100,gram (g),84,3.31,0.659,1.603,0.896,1,12,0.64,0,0.64,177,330
255,Putih Telur Matang,Telur,1,besar,17,0.06,0,0,0,0,3.58,0.24,0,0.23,106,53
256,Telur,Telur,1,besar,74,4.97,1.55,0.682,1.905,212,6.29,0.38,0,0.38,70,67
257,Telur Rebus,Telur,1,besar,77,5.28,1.627,0.704,2.03,211,6.26,0.56,0,0.56,139,63
258,Telur Ceplok,Telur,1,besar,92,7.04,1.975,1.224,2.919,210,6.27,0.4,0,0.38,94,68
259,Telur Dadar,Telur,1,besar,93,7.33,2.053,1.279,3.044,217,6.48,0.42,0,0.4,98,70
260,Telur Dadar atau Telur Orak-Arik dengan Sayuran,Telur,1,besar,106,7.34,2.169,1.274,2.925,216,7.22,2.38,0.3,1.86,280,117
261,Telur Dadar atau Telur Orak-Arik dengan Sosis,Telur,1,sedang,181,14.26,4.329,2.26,6.005,215,11.13,1.29,0,1.31,322,161
262,Telur Goreng,Telur,1,besar,89,6.76,1.88,1.214,2.754,210,6.24,0.43,0,0.38,238,67
263,Telur Goreng tanpa Lemak,Telur,1,besar,73,4.93,1.537,0.677,1.89,210,6.24,0.38,0,0.38,223,66
264,Telur Rebus Lunak,Telur,1,sedang,68,4.65,1.432,0.62,1.787,186,5.51,0.49,0,0.49,122,55
265,Acar,Sayur,1,sedang,12,0.12,0.031,0.05,0.002,0,0.4,2.68,0.8,2.28,833,75
266,Acar Mentimun Manis,Sayur,100,gram (g),117,0.26,0.066,0.106,0.004,0,0.37,31.81,1.1,14.63,939,32
267,Acar Mentimun Asam,Sayur,100,gram (g),11,0.2,0.052,0.082,0.003,0,0.33,2.26,1.2,1.06,1208,23
268,Bawang,Sayur,100,gram (g),42,0.08,0.026,0.062,0.023,0,0.92,10.11,1.4,4.28,3,144
269,Bawang Merah,Sayur,100,gram (g),42,0.08,0.026,0.062,0.023,0,0.92,10.11,1.4,4.28,3,144
270,Daun Bawang (Loncang),Sayur,100,gram (g),32,0.19,0.032,0.074,0.027,0,1.83,7.34,2.6,2.33,16,276
271,Bawang Hijau Muda,Sayur,100,gram (g),32,0.19,0.032,0.074,0.027,0,1.83,7.34,2.6,2.33,16,276
272,Bawang Putih,Sayur,1,siung,4,0.02,0.003,0.007,0,0,0.19,0.99,0.1,0.03,1,12
273,Bawang Putih Cincang,Sayur,1,sdt,5,0.03,0.004,0.009,0,0,0.25,1.32,0.1,0.04,1,16
274,Bawang Putih Dimasak,Sayur,1,siung,3,0.01,0.002,0.005,0,0,0.13,0.66,0,0.02,0,8
275,Bawang Putih Bubuk,Sayur,1,sdt,9,0.02,0.004,0.011,0,0,0.47,2.04,0.3,0.68,1,31
276,Bayam,Sayur,100,gram (g),23,0.39,0.063,0.165,0.01,0,2.86,3.63,2.2,0.42,79,558
277,"Bayam (Cincang atau Daun, Beku)",Sayur,100,gram (g),31,0.75,0.292,0.166,0,0,3.94,4.33,3.1,0.87,74,372
278,Bayam Bayi/Kecil,Sayur,1,mangkok,7,0.12,0.019,0.05,0.003,0,0.86,1.09,0.7,0.13,24,167
279,"Bayam (Kering Padat, Kaleng)",Sayur,1,mangkok,49,1.07,0.173,0.447,0.03,0,6.01,7.28,5.1,0.86,58,740
280,Bayam Dimasak (dari Segar),Sayur,100,gram (g),40,2.25,0.415,0.689,0.949,0,2.88,3.68,2.3,0.42,285,452
281,Brokoli,Sayur,100,gram (g),34,0.37,0.039,0.038,0.011,0,2.82,6.64,2.6,1.7,33,316
282,Brokoli Dimasak (Lemak tidak Ditambahkan dalam Masakan),Sayur,100,gram (g),35,0.41,0.079,0.169,0.04,0,2.37,7.14,3.3,1.38,278,291
283,Brokoli Cina (Dimasak),Sayur,100,gram (g),22,0.72,0.11,0.33,0.05,0,1.14,3.81,2.5,0.84,7,261
284,"Brokoli (Tusuk, Beku)",Sayur,100,gram (g),29,0.34,0.052,0.162,0.024,0,3.06,5.35,3,1.47,17,250
285,Daun Bawang,Sayur,100,gram (g),61,0.3,0.04,0.166,0.004,0,1.5,14.15,1.8,3.9,20,180
286,Bawang Bombay Dimasak,Sayur,100,gram (g),94,4,0.735,1.251,1.752,0,1.51,14.24,1.8,3.9,282,163
287,Jagung,Sayur,100,gram (g),86,1.18,0.182,0.559,0.347,0,3.22,19.02,2.7,3.22,15,270
288,Jagung Manis Kuning,Sayur,100,gram (g),86,1.18,0.182,0.559,0.347,0,3.22,19.02,2.7,3.22,15,270
289,Jagung Kecil/Tunas Jagung,Sayur,100,gram (g),81,1,0.154,0.471,0.292,0,2.62,18.59,2,3.5,214,195
290,"Jagung Manis Kuning (Kernel Utuh, Padat Dikeringkan, Kalengan)",Sayur,100,gram (g),81,1,0.154,0.471,0.292,0,2.62,18.59,2,3.5,214,195
291,Jamur,Sayur,100,gram (g),22,0.34,0.05,0.16,0,0,3.09,3.28,1,1.65,5,318
292,"Jamur (Kering Padat, Kaleng)",Sayur,100,gram (g),25,0.29,0.038,0.113,0.005,0,1.87,5.09,2.4,2.2,425,129
293,Potongan-Potongan Jamur dan Batang,Sayur,1,mangkok,15,0.24,0.035,0.112,0,0,2.16,2.3,0.7,1.16,4,223
294,Jamur Portabella,Sayur,100,gram (g),26,0.2,0.026,0.078,0.003,0,2.5,5.07,1.5,1.8,6,484
295,Jamur Tiram,Sayur,100,gram (g),35,0.44,0.02,0.04,0.01,0,3.34,6.43,2.4,1.11,18,420
296,Kacang Hijau,Sayur,100,gram (g),81,0.4,0.071,0.187,0.035,0,5.42,14.46,5.1,5.67,5,244
297,Kacang Polong,Sayur,100,gram (g),42,0.2,0.039,0.089,0.021,0,2.8,7.55,2.6,4,4,200
298,Kacang Hijau (Beku),Sayur,2,mangkok,55,0.27,0.048,0.126,0.024,0,3.75,9.87,3,3.87,81,107
299,Kacang Hijau Dimasak (Kalengan),Sayur,1,mangkok,150,4.31,0.801,1.365,1.804,0,7.54,21.51,7,7.09,460,296
300,Kembang Kol,Sayur,100,gram (g),25,0.1,0.032,0.099,0.014,0,1.98,5.3,2.5,2.4,30,303
301,Kembang Kol (Beku),Sayur,2,"mangkok  (potongan 2,5 cm)",16,0.18,0.027,0.084,0.013,0,1.33,3.09,1.5,1.47,16,127
302,Kembang Kol Dimasak (Lemak tidak Ditambahkan dalam Masakan),Sayur,100,gram (g),22,0.37,0.058,0.179,0.026,0,1.75,3.96,2.7,1.28,284,140
303,"Kembang Kol Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)",Sayur,1,mangkok,34,0.4,0.06,0.184,0.027,0,2.88,6.71,4.9,1.87,403,248
304,"Kembang Kol Dimasak (dari Segar, Lemak tidak Ditambahkan dalam Masakan)",Sayur,100,gram (g),23,0.45,0.069,0.215,0.032,0,1.83,4.08,2.7,1.4,313,141
305,Kentang Putih (Daging dan Kulit),Sayur,100,gram (g),70,0.1,0.026,0.042,0.002,0,1.68,15.71,2.4,1.15,6,407
306,"Kentang Putih (Daging dan Kulit, Dipanggang)",Sayur,100,gram (g),94,0.15,0.022,0.037,0.002,0,2.1,21.08,2.1,1.53,7,544
307,Kentang Tumbuk,Sayur,100,gram (g),100,3.54,0.791,0.978,1.577,1,1.8,15.72,1.3,1.38,231,260
308,Kentang Panggang,Sayur,100,gram (g),149,7,0.9,3.442,2.329,0,2.32,20.06,2.5,0.9,101,483
309,"Kentang (Daging, dengan Garam, Direbus)",Sayur,100,gram (g),87,0.1,0.026,0.043,0.002,0,1.87,20.13,2,0.87,240,379
310,Kentang Panggang (Kulit Dimakan),Sayur,100,gram (g),109,2.2,0.423,0.664,0.982,0,2.43,20.53,2.1,1.14,235,519
311,Kentang Panggang (Kulit tidak Dimakan),Sayur,100,gram (g),92,0.1,0.026,0.043,0.002,0,1.95,21.39,1.5,1.69,287,388
312,Kentang Panggang Diisi dengan Krim Asam (Kulit Dimakan),Sayur,1,sedang,316,16,8.255,1.638,5.242,26,6.14,39.11,3.8,2.12,451,1008
313,Kentang Panggang yang Diisi Daging Babi dan Keju (Kulit Dimakan),Sayur,1,sedang,322,13.72,5.843,1.804,4.973,30,11.86,38.92,3.8,4.13,924,1044
314,Kentang Panggang Diisi dengan Keju (Kulit Dimakan),Sayur,1,sedang,288,11.09,4.982,1.507,3.809,23,9.54,38.9,3.7,4.14,778,1008
315,Kentang Tumbuk (dari Kentang Segar),Sayur,100,gram (g),122,6.96,1.595,1.884,3.12,3,2.11,13.22,1,2.24,392,240
316,Kentang Tumbuk (dari Kentang Kering),Sayur,100,gram (g),105,5.56,1.274,1.506,2.489,2,2.02,12.22,0.9,1.87,326,186
317,Kentang Tumbuk (Ditambahkan Susu ),Sayur,100,gram (g),83,0.57,0.253,0.055,0.104,2,1.92,17.53,1.5,1.51,302,298
318,Kentang Tumbuk (Ditambahkan Susu dan Mentega ),Sayur,100,gram (g),113,4.22,2.078,0.149,0.16,0.851,1.87,16.77,11,1.5,1.43,317
319,Mentimun (dengan Kulit),Sayur,100,gram (g),15,0.11,0.034,0.053,0.003,0,0.65,3.63,0.5,1.67,2,147
320,Mentimun (Kupas),Sayur,100,gram (g),12,0.16,0.013,0.003,0.002,0,0.59,2.16,0.7,1.38,2,136
321,Kubis,Sayur,100,gram (g),24,0.12,0.016,0.06,0.009,0,1.44,5.58,2.3,3.58,18,246
322,Kubis Merah,Sayur,100,gram (g),31,0.16,0.034,0.125,0.019,0,1.43,7.37,2.1,3.91,27,243
323,Kubis Hijau,Sayur,100,gram (g),24,0.12,0.016,0.06,0.009,0,1.44,5.58,2.3,3.58,18,246
324,Kubis Savoy,Sayur,1,"mangkok, parut",19,0.07,0.009,0.034,0.005,0,1.4,4.27,2.2,1.59,20,161
325,Kubis Cina,Sayur,100,gram (g),13,0.2,0.026,0.096,0.015,0,1.5,2.18,1,1.18,65,252
326,Labu,Sayur,100,gram (g),26,0.1,0.052,0.005,0.013,0,1,6.5,0.5,1.36,1,340
327,"Labu (tanpa Garam, Kaleng)",Sayur,1,mangkok,83,0.69,0.358,0.037,0.091,0,2.7,19.82,7.1,8.08,12,505
328,Labu Dimasak,Sayur,100,gram (g),46,1.75,0.42,0.448,0.734,0,1.08,7.94,2.8,3.22,166,202
329,Lobak,Sayur,100,gram (g),28,0.1,0.011,0.053,0.006,0,0.9,6.43,1.8,3.8,67,191
330,Lobak Dimasak,Sayur,100,gram (g),42,2.37,0.438,0.712,1.086,0,0.69,4.94,1.9,2.88,265,171
331,Paprika Hijau,Sayur,100,gram (g),20,0.17,0.058,0.062,0.008,0,0.86,4.64,1.7,2.4,3,175
332,Paprika Jalapeno,Sayur,1,lada/merica,4,0.09,0.009,0.045,0.005,0,0.19,0.83,0.4,0.48,0,30
333,Paprika Hijau Pedas,Sayur,100,gram (g),40,0.2,0.021,0.109,0.011,0,2,9.46,1.5,5.1,7,340
334,"Sayuran Campur (Kering Padatan, Kaleng)",Sayur,1,mangkok,80,0.41,0.083,0.194,0.026,0,4.22,15.09,4.9,3.99,243,474
335,"Sayuran Campur Matang (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau dan Wortel)",Sayur,100,gram (g),81,2.12,0.4,0.648,0.941,0,2.78,12.74,4.3,3.06,249,164
336,"Sayuran Campur (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau, Wortel) (tanpa Tambahan Garam, Kaleng)",Sayur,1,mangkok,67,0.36,0.071,0.178,0.04,0,2.55,13.3,5.6,4.46,47,251
337,Selada,Sayur,100,gram (g),14,0.14,0.018,0.074,0.006,0,0.9,2.97,1.2,1.76,10,141
338,Selada Daun Hijau,Sayur,100,gram (g),15,0.15,0.02,0.082,0.006,0,1.36,2.79,1.3,0.78,28,194
339,Salad Sayuran Hijau Campur,Sayur,1,"mangkok, parut atau cincang",9,0.13,0.021,0.063,0.004,0,0.84,1.76,1.1,0.48,16,160
340,Selada Arugula,Sayur,100,gram (g),25,0.66,0.086,0.319,0.049,0,2.58,3.65,1.6,2.05,27,369
341,Selada Gunung Es (Termasuk Jenis Crisphead),Sayur,100,gram (g),14,0.14,0.018,0.074,0.006,0,0.9,2.97,1.2,1.76,10,141
342,Seledri,Sayur,100,gram (g),14,0.17,0.043,0.081,0.032,0,0.69,2.97,1.6,1.83,80,260
343,Seledri Dimasak,Sayur,100,gram (g),39,2.54,0.486,0.77,1.153,0,0.81,3.93,1.5,2.29,307,275
344,Terung,Sayur,100,gram (g),24,0.19,0.034,0.076,0.016,0,1.01,5.7,3.4,2.35,2,230
345,Terung Dimasak,Sayur,100,gram (g),65,3.85,0.723,1.153,1.735,0,0.79,8.31,2.4,3.02,488,117
346,Terong Goreng,Sayur,100,gram (g),148,10.75,2.118,3.465,4.569,16,2.4,11.58,3.1,2.41,62,222
347,Tomat,Sayur,100,gram (g),18,0.2,0.046,0.135,0.051,0,0.88,3.92,1.2,2.63,5,237
348,Tomat Merah,Sayur,1,"utuh sedang (diameter 6,5 cm)",22,0.25,0.057,0.166,0.063,0,1.08,4.82,1.5,3.23,6,292
349,Tomat Merah (Kaleng),Sayur,1,mangkok,41,0.31,0.043,0.13,0.05,0,1.92,9.38,2.2,6.14,307,451
350,Tomat Ceri,Sayur,100,gram (g),18,0.2,0.046,0.135,0.051,0,0.88,3.92,1.2,2.63,5,237
351,Ubi Jalar (Manis),Sayur,100,gram (g),86,0.05,0.018,0.014,0.001,0,1.57,20.12,3,4.18,55,337
352,"Ubi Jalar (tanpa Kulit, Dimasak, Direbus)",Sayur,100,gram (g),76,0.14,0.04,0.08,0,0,1.37,17.72,2.5,5.74,27,230
353,"Ubi Jalar (tanpa Garam, Dipanggang dengan Kulitnya, Dimasak)",Sayur,100,gram (g),90,0.15,0.052,0.096,0.002,0,2.01,20.71,3.3,8.44,36,475
354,"Ubi Jalar/Manis (Tumbuk, Kaleng)",Sayur,100,gram (g),101,0.2,0.041,0.084,0.008,0,1.98,23.19,1.7,5.45,75,210
355,Ubi Rambat,Sayur,100,gram (g),118,0.17,0.037,0.076,0.006,0,1.53,27.88,4.1,0.5,9,816
356,"Ubi Jalar (dengan Garam, Dikeringkan, Dimasak, Direbus)",Sayur,100,gram (g),116,0.14,0.029,0.06,0.005,0,1.49,27.58,3.9,0.49,244,670
357,"Ubi Rambat (tanpa Garam, Dikeringkan, Dimasak, Direbus, Dipanggang)",Sayur,100,gram (g),116,0.14,0.029,0.06,0.005,0,1.49,27.58,3.9,0.49,8,670
358,Wortel,Sayur,100,gram (g),41,0.24,0.037,0,0.117,0.014,0.93,9.58,0,2.8,4.54,69
359,Wortel Bayi,Sayur,1,sedang,4,0.01,0.002,0.006,0.001,0,0.06,0.82,0.2,0.48,8,24
360,Wortel Dimasak,Sayur,100,gram (g),54,2.48,0.468,0.778,1.094,0,0.74,7.99,2.9,3.33,306,227
361,"Wortel (Padat dan Cair, Kaleng)",Sayur,2,"mangkok, irisan",28,0.17,0.031,0.08,0.007,0,0.71,6.61,2.2,3.03,295,213
362,Zaitun,Sayur,100,gram (g),117,11.27,1.493,0.962,8.324,0,0.92,5.4,3.1,0.16,1083,18
363,Zaitun Hitam,Sayur,100,gram (g),105,9.54,1.263,0.814,7.043,0,0.88,6.06,3,0,880,8
364,Zaitun Hijau,Sayur,1,10 porsi kecil,42,4.44,0.588,0.379,3.281,0,0.3,1.11,1,0.16,451,12
365,Zaitun Hijau Isi,Sayur,1,10 porsi kecil,44,4.49,0.595,0.39,3.309,0,0.35,1.37,1.1,0.3,456,20
366,"Zaitun Hijau (Acar, Kaleng atau Botol)",Sayur,100,gram (g),145,15.32,2.029,1.307,11.314,0,1.03,3.84,3.3,0.54,1556,42
367,Dendeng Sapi,Snack (Makanan Ringan),1,"buah, besar",82,5.12,2.17,0.202,2.261,10,6.64,2.2,0.4,1.8,443,119
368,Keripik Kentang,Snack (Makanan Ringan),100,gram (g),547,37.47,10.96,12.17,9.84,0,6.56,49.74,4.4,4.12,525,1642
369,Keripik Jagung Tawar,Snack (Makanan Ringan),100,gram (g),518,28.41,3.612,0.634,14.01,7.913,6.03,63.01,0,5.3,1.16,616
370,Keripik Jagung Tortilla,Snack (Makanan Ringan),100,gram (g),488,23.36,2.458,9.956,9.52,0,7.79,65.32,5.3,1,421,215
371,Keripik Kentang (Asin),Snack (Makanan Ringan),100,gram (g),547,37.47,10.96,12.17,9.84,0,6.56,49.74,4.4,4.12,525,1642
372,Keripik Kentang Bebas Lemak,Snack (Makanan Ringan),1,mangkok,76,0.12,0.03,0.051,0.003,0,1.93,16.75,1.5,0.74,129,326
373,Keripik Kentang dengan Lemak yang Dikurangi,Snack (Makanan Ringan),100,gram (g),471,20.8,4.16,10.94,4.8,0,7.1,66.9,5.9,0.22,492,1744
374,Kerupuk / Biskuit,Snack (Makanan Ringan),1,"kerupuk, segi empat",20,1.01,0.151,0.382,0.426,0,0.3,2.44,0.1,0.07,34,5
375,Kerupuk Asin,Snack (Makanan Ringan),1,kerupuk,13,0.34,0.05,0.037,0.21,0,0.28,2.13,0.1,0.01,32,5
376,Kerupuk Gandum,Snack (Makanan Ringan),1,kerupuk,9,0.41,0.104,0.056,0.229,0,0.17,1.3,0.1,0.26,16,4
377,Biskuit Keju,Snack (Makanan Ringan),1,"kerupuk 2,5 cm persegi",5,0.25,0.094,0.025,0.121,0,0.1,0.58,0,0,10,1
378,Kue Beras Merah,Snack (Makanan Ringan),1,kue,35,0.25,0.051,0.089,0.093,0,0.74,7.34,0.4,0.08,29,26
379,Permen Karet (tanpa Gula),Snack (Makanan Ringan),1,buah,5,0.01,0.001,0.005,0.002,0,0,1.9,0,0,0,0
380,Permen Karet (Manis),Snack (Makanan Ringan),1,buah,10,0.01,0.002,0.005,0.003,0,0,2.64,0.1,2.64,0,0
381,Permen Karet,Snack (Makanan Ringan),1,batang,7,0.01,0.001,0.004,0.002,0,0,1.98,0.1,1.98,0,0
382,Popcorn,Snack (Makanan Ringan),100,gram (g),387,4.54,0.637,2.318,0.95,0,12.94,77.78,14.5,0.87,8,329
383,Selai Kacang dan Sandwich Jeli,Snack (Makanan Ringan),1,sandwich,327,14.23,2.931,4.156,6.229,0,10.32,42.23,2.9,12.11,483,222
384,Sandwich Daging Sapi Panggang,Snack (Makanan Ringan),1,sandwich,341,13.49,5.078,1.058,5.345,67,26.85,26.02,1.2,2.22,602,366
385,Sandwich Keju,Snack (Makanan Ringan),1,sandwich,261,12.67,5.378,2.109,4.211,22,9.1,27.6,1.2,3.95,734,127
386,Sushi,Snack (Makanan Ringan),1,buah,37,0.11,0.023,0.033,0.033,1,1.12,7.77,0.2,1.63,155,34
387,Sushi dengan Sayuran dan Seafood,Snack (Makanan Ringan),1,buah,36,0.11,0.026,0.032,0.023,2,1.4,7.15,0.3,1.47,56,34
388,Sushi dengan Sayuran,Snack (Makanan Ringan),1,buah,38,0.07,0.018,0.023,0.017,0,0.8,8.24,0.3,1.7,62,26
389,Sushi dengan Sayuran yang Digulung dengan Rumput Laut,Snack (Makanan Ringan),1,buah,31,0.06,0.017,0.018,0.018,0,0.57,6.71,0.1,1.16,25,16
390,Sashimi Salmon,Snack (Makanan Ringan),1,buah,41,1.68,0.357,0.565,0.605,13,6.13,0,0,0,13,120
